19-2-2003 10:55:12 | 143.107.183.211 | 143.107.183.211 | /coweb/create.php | 3 : 81.1 | Mozilla/5.0 Galeon/1.2.5 (X11; Linux i686; U;) Gecko/20020623 Debian/1.2.5-0.woody.1
19-2-2003 13:11:0 | 143.107.231.67 | nt-labes.icmc.usp.br | /coweb/edit.php | 2 : 76 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)
19-2-2003 14:1:35 | 143.107.231.67 | nt-labes.icmc.usp.br | /coweb/edit.php | 2 : 76.6 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)
19-2-2003 14:34:32 | 143.107.232.94 | sandra.icmc.usp.br | /coweb/create.php | 2 : 78.1 | Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
19-2-2003 14:34:57 | 143.107.232.94 | sandra.icmc.usp.br | /coweb/create.php | 2 : 78.1 | Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
19-2-2003 14:35:52 | 143.107.232.94 | sandra.icmc.usp.br | /coweb/create.php | 2 : 78.1 | Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
19-2-2003 14:36:41 | 143.107.232.94 | sandra.icmc.usp.br | /coweb/create.php | 2 : 78.1 | Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
19-2-2003 14:36:52 | 143.107.232.94 | sandra.icmc.usp.br | /coweb/create.php | 2 : 78.1 | Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
19-2-2003 14:37:13 | 143.107.232.94 | sandra.icmc.usp.br | /coweb/create.php | 2 : 78.1 | Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
19-2-2003 14:38:42 | 143.107.232.94 | sandra.icmc.usp.br | /coweb/create.php | 2 : 78.1 | Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
19-2-2003 14:39:33 | 143.107.232.94 | sandra.icmc.usp.br | /coweb/edit.php | 2 : 78.1 | Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
19-2-2003 14:39:49 | 143.107.232.94 | sandra.icmc.usp.br | /coweb/edit.php | 2 : 78.1 | Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
19-2-2003 14:41:17 | 143.107.232.94 | sandra.icmc.usp.br | /coweb/edit.php | 2 : 78.1 | Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
19-2-2003 14:42:26 | 143.107.232.94 | sandra.icmc.usp.br | /coweb/edit.php | 2 : 78.1 | Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
19-2-2003 15:5:16 | 143.107.183.175 | www.nilc.icmc.usp.br | /coweb/edit.php | 2 : 80 | Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
19-2-2003 15:20:18 | 143.107.183.175 | www.nilc.icmc.usp.br | /coweb/edit.php | 2 : 80.2 | Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
19-2-2003 21:30:51 | 143.107.183.161 | 143.107.183.161 | /coweb/edit.php | 2 : 86 | Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; .NET CLR 1.0.3705)
19-2-2003 21:31:20 | 143.107.183.161 | 143.107.183.161 | /coweb/edit.php | 2 : 86 | Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; .NET CLR 1.0.3705)
19-2-2003 22:15:21 | 143.107.183.161 | 143.107.183.161 | /coweb/create.php | 2 : 86.5 | Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; .NET CLR 1.0.3705)
20-2-2003 20:10:55 | 143.107.232.94 | sandra.icmc.usp.br | /coweb/edit.php | 2 : 78.5 | Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
20-2-2003 20:12:12 | 143.107.232.94 | sandra.icmc.usp.br | /coweb/edit.php | 2 : 78.5 | Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
20-2-2003 20:12:33 | 143.107.232.94 | sandra.icmc.usp.br | /coweb/edit.php | 2 : 78.5 | Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
20-2-2003 20:12:45 | 143.107.232.94 | sandra.icmc.usp.br | /coweb/edit.php | 2 : 78.5 | Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
20-2-2003 20:13:48 | 143.107.232.94 | sandra.icmc.usp.br | /coweb/edit.php | 2 : 78.5 | Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
20-2-2003 20:14:5 | 143.107.232.94 | sandra.icmc.usp.br | /coweb/edit.php | 2 : 78.5 | Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
20-2-2003 20:14:38 | 143.107.232.94 | sandra.icmc.usp.br | /coweb/edit.php | 2 : 78.5 | Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
20-2-2003 20:15:13 | 143.107.232.94 | sandra.icmc.usp.br | /coweb/edit.php | 2 : 78.5 | Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
20-2-2003 20:15:24 | 143.107.232.94 | sandra.icmc.usp.br | /coweb/edit.php | 2 : 78.5 | Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
20-2-2003 20:36:4 | 143.107.232.94 | sandra.icmc.usp.br | /coweb/edit.php | 2 : 78 | Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
21-2-2003 8:41:42 | 143.107.183.219 | 143.107.183.219 | /coweb/edit.php | 2 : 65.8 | Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.0.2) Gecko/20030208 Netscape/7.02
21-2-2003 8:52:34 | 143.107.183.219 | 143.107.183.219 | /coweb/edit.php | 2 : 65.8 | Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.0.2) Gecko/20030208 Netscape/7.02
21-2-2003 9:0:22 | 143.107.183.219 | 143.107.183.219 | /coweb/edit.php | 2 : 65.8 | Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.0.2) Gecko/20030208 Netscape/7.02
21-2-2003 9:2:29 | 143.107.183.219 | 143.107.183.219 | /coweb/edit.php | 2 : 65.8 | Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.0.2) Gecko/20030208 Netscape/7.02
21-2-2003 9:2:52 | 143.107.183.219 | 143.107.183.219 | /coweb/edit.php | 2 : 65.8 | Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.0.2) Gecko/20030208 Netscape/7.02
21-2-2003 9:3:37 | 143.107.183.219 | 143.107.183.219 | /coweb/edit.php | 2 : 65.8 | Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.0.2) Gecko/20030208 Netscape/7.02
21-2-2003 9:4:6 | 143.107.183.219 | 143.107.183.219 | /coweb/edit.php | 2 : 65.8 | Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.0.2) Gecko/20030208 Netscape/7.02
21-2-2003 9:4:39 | 143.107.183.219 | 143.107.183.219 | /coweb/edit.php | 2 : 65.8 | Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.0.2) Gecko/20030208 Netscape/7.02
21-2-2003 9:15:39 | 143.107.183.219 | 143.107.183.219 | /coweb/edit.php | 2 : 65.8 | Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.0.2) Gecko/20030208 Netscape/7.02
21-2-2003 9:16:19 | 143.107.183.219 | 143.107.183.219 | /coweb/edit.php | 2 : 65.8 | Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.0.2) Gecko/20030208 Netscape/7.02
21-2-2003 9:16:36 | 143.107.183.219 | 143.107.183.219 | /coweb/edit.php | 2 : 65.8 | Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.0.2) Gecko/20030208 Netscape/7.02
21-2-2003 9:17:4 | 143.107.183.219 | 143.107.183.219 | /coweb/edit.php | 2 : 65.8 | Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.0.2) Gecko/20030208 Netscape/7.02
21-2-2003 9:17:56 | 143.107.183.219 | 143.107.183.219 | /coweb/edit.php | 2 : 65.8 | Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.0.2) Gecko/20030208 Netscape/7.02
21-2-2003 9:18:11 | 143.107.183.219 | 143.107.183.219 | /coweb/edit.php | 2 : 65.8 | Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.0.2) Gecko/20030208 Netscape/7.02
21-2-2003 9:19:15 | 143.107.183.219 | 143.107.183.219 | /coweb/edit.php | 2 : 65.8 | Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.0.2) Gecko/20030208 Netscape/7.02
21-2-2003 9:19:27 | 143.107.183.219 | 143.107.183.219 | /coweb/edit.php | 2 : 65.8 | Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.0.2) Gecko/20030208 Netscape/7.02
21-2-2003 9:31:30 | 143.107.231.199 | chapinha.intermidia.icmc.usp.br | /coweb/edit.php | 2 : 9 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98; YComp 5.0.0.0)
21-2-2003 9:32:15 | 143.107.231.199 | chapinha.intermidia.icmc.usp.br | /coweb/edit.php | 2 : 9 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98; YComp 5.0.0.0)
21-2-2003 9:33:13 | 143.107.231.199 | chapinha.intermidia.icmc.usp.br | /coweb/edit.php | 2 : 9 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98; YComp 5.0.0.0)
